Experiences Offered;Review Scores Communication;Review Scores Location;Review Scores Value;Review Scores Rating;Review Scores Accuracy;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Host Neighbourhood;Host Total Listings Count;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews
none;9.0;10.0;9.0;83.0;8.0;None;moderate;1.0;0.28;Embajadores;1.0;40.40787287754465;-3.6959535793956246;Apartment;Private room;2.0;1.0;1.0;Real Bed;394.07081545064375;21.0;0.0;0.0;1;5;3;6
none;10.0;10.0;9.0;92.0;10.0;None;strict;2.0;1.25;La Latina;2.0;40.410405792536686;-3.710922027624864;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;394.07081545064375;59.0;100.0;19.0;2;19;2;39
none;0.0;0.0;0.0;0.0;0.0;None;strict;26.0;0.0;Sol;26.0;40.4201193989726;-3.706472034284187;Apartment;Private room;4.0;1.0;1.0;Real Bed;394.07081545064375;36.0;200.0;30.0;1;0;7;0
none;0.0;0.0;0.0;0.0;0.0;None;flexible;2.0;0.0;No data;2.0;40.41707318430529;-3.7026177630058252;Apartment;Private room;1.0;1.0;2.0;Real Bed;394.07081545064375;40.0;100.0;0.0;1;15;2;0
none;8.0;9.0;8.0;80.0;8.0;None;strict;5.0;0.51;Malasaña;10.0;40.420516789444214;-3.7061891124331625;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;69.0;0.0;0.0;1;0;3;18
none;9.0;10.0;9.0;95.0;10.0;None;strict;2.0;0.86;Sol;2.0;40.41337029785155;-3.707071312569096;Apartment;Entire home/apt;1.0;0.0;1.0;Real Bed;394.07081545064375;55.0;100.0;20.0;1;0;4;4
none;10.0;10.0;9.0;89.0;9.0;None;strict;1.0;1.42;Palacio;1.0;40.41863247744862;-3.7113604074943733;Apartment;Entire home/apt;1.0;1.0;2.0;Pull-out Sofa;394.07081545064375;50.0;120.0;11.0;1;0;2;65
none;10.0;10.0;9.0;88.0;9.0;None;moderate;6.0;4.83;Sol;7.0;40.4308554313075;-3.7015503660099713;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;52.0;90.0;14.0;2;12;1;72
none;10.0;10.0;9.0;89.0;9.0;None;flexible;7.0;1.44;Trafalgar;8.0;40.43576466214094;-3.702260482734175;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;394.07081545064375;39.0;0.0;15.0;1;0;1;14
none;10.0;10.0;9.0;100.0;9.0;None;flexible;1.0;0.5;Palacio;1.0;40.41567898975307;-3.712081671947423;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;110.0;0.0;0.0;1;0;3;9
none;10.0;10.0;10.0;100.0;10.0;None;strict;1.0;0.71;No data;1.0;40.45516947550845;-3.6991774579213614;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;394.07081545064375;85.0;150.0;30.0;4;20;3;1
none;8.0;8.0;8.0;86.0;10.0;None;flexible;1.0;0.02;Pacifico;1.0;40.40494837268489;-3.67490290711226;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;19.0;0.0;10.0;1;0;2;1
none;0.0;0.0;0.0;0.0;0.0;None;strict;1.0;0.0;Ciudad Lineal;1.0;40.47990774963265;-3.664404552528164;House;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;35.0;0.0;0.0;1;0;1;0
none;7.0;9.0;8.0;75.0;7.0;None;strict;145.0;0.22;Rios Rosas;164.0;40.414867702662775;-3.707529145901834;Apartment;Entire home/apt;2.0;2.0;4.0;Real Bed;394.07081545064375;130.0;200.0;60.0;3;20;2;4
none;0.0;0.0;0.0;0.0;0.0;None;strict;29.0;0.0;Argüelles;30.0;40.42381426114007;-3.7131635868735935;Apartment;Shared room;1.0;1.0;10.0;Real Bed;394.07081545064375;11.0;0.0;0.0;1;15;1;0
none;10.0;9.0;10.0;99.0;10.0;None;moderate;3.0;4.76;La Chopera;3.0;40.39412214687482;-3.6959153382228114;Apartment;Private room;2.0;1.0;1.0;Real Bed;394.07081545064375;35.0;0.0;5.0;1;0;3;91
none;10.0;10.0;10.0;98.0;10.0;None;moderate;1.0;6.59;Malasaña;1.0;40.424864297974246;-3.706607184856653;Apartment;Entire home/apt;1.0;2.0;3.0;Real Bed;394.07081545064375;77.0;100.0;15.0;2;0;2;56
none;10.0;7.0;8.0;82.0;9.0;None;strict;1.0;1.72;No data;1.0;40.39417351351339;-3.6704197368456266;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;394.07081545064375;33.0;0.0;20.0;1;0;2;30
none;10.0;9.0;10.0;95.0;10.0;None;strict;2.0;4.14;Barajas;2.0;40.4292829687693;-3.6285846598437694;Apartment;Private room;1.0;1.0;1.0;Real Bed;394.07081545064375;18.0;100.0;0.0;2;5;2;40
none;10.0;10.0;10.0;100.0;8.0;None;flexible;4.0;0.37;Cortes;5.0;40.416524271294925;-3.6946734719984073;Apartment;Entire home/apt;1.0;2.0;2.0;Real Bed;394.07081545064375;90.0;100.0;40.0;2;15;3;3
